feature,correlation,correlation_raw,p_value,direction,p_adj
g__GGB9270,0.12495689953545765,-0.12495689953545765,0.09012725915061258,negative,0.2791155661184968
g__GGB1566,0.12495689951350226,-0.12495689951350226,0.09012725920757386,negative,0.2791155661184968
g__GGB1567,0.12495689950034555,-0.12495689950034555,0.09012725924170717,negative,0.2791155661184968
g__GGB45540,0.1248048753613785,-0.1248048753613785,0.09052235782024405,negative,0.2791155661184968
g__GGB48169,0.12480487506085806,-0.12480487506085806,0.090522358602636,negative,0.2791155661184968
g__GGB3323,0.12480487503685721,-0.12480487503685721,0.09052235866512147,negative,0.2791155661184968
g__GGB9334,0.12480487491870305,-0.12480487491870305,0.09052235897273081,negative,0.2791155661184968
g__Atopobium,0.12457868315210707,0.12457868315210707,0.09111276965377364,positive,0.2791155661184968
g__Mammaliicoccus,0.1245334518557828,-0.1245334518557828,0.09123120098228299,negative,0.2791155661184968
g__GGB3755,0.1244729847237513,-0.1244729847237513,0.09138971673715676,negative,0.2791155661184968
g__GGB74700,0.12447298463117601,-0.12447298463117601,0.09138971698001212,negative,0.2791155661184968
g__GGB74703,0.12447298454202547,-0.12447298454202547,0.09138971721388446,negative,0.2791155661184968
g__GGB1562,0.12447298451083769,-0.12447298451083769,0.09138971729569977,negative,0.2791155661184968
g__GGB9267,0.1244729844975986,-0.1244729844975986,0.09138971733043015,negative,0.2791155661184968
g__GGB3517,0.12447298444045318,-0.12447298444045318,0.09138971748034255,negative,0.2791155661184968
g__GGB4686,0.12447298443809553,-0.12447298443809553,0.09138971748652665,negative,0.2791155661184968
g__GGB4694,0.12447298442774765,-0.12447298442774765,0.09138971751367271,negative,0.2791155661184968
g__GGB1582,0.12447298441042484,-0.12447298441042484,0.09138971755911604,negative,0.2791155661184968
g__GGB4671,0.12447298440593996,-0.12447298440593996,0.09138971757088153,negative,0.2791155661184968
g__GGB32024,0.12447298439520695,-0.12447298439520695,0.09138971759903772,negative,0.2791155661184968
g__GGB1110,0.12447298439382815,-0.12447298439382815,0.09138971760265459,negative,0.2791155661184968
g__Raoultella,0.12419460146782775,-0.12419460146782775,0.09212233827835946,negative,0.2791155661184968
g__GGB3353,0.12392447992581321,-0.12392447992581321,0.09283768266248853,negative,0.2791155661184968
g__Candidatus_Nanogingivalis,0.1238286444236163,-0.1238286444236163,0.0930925375175012,negative,0.2791155661184968
g__GGB73496,0.12382864393751496,-0.12382864393751496,0.09309253881159901,negative,0.2791155661184968
g__Microbacterium,0.12382864363416439,-0.12382864363416439,0.0930925396191779,negative,0.2791155661184968
g__GGB1496,0.12382864353365756,-0.12382864353365756,0.0930925398867473,negative,0.2791155661184968
g__Abiotrophia,0.12362794593919742,-0.12362794593919742,0.09362805804909459,negative,0.2791155661184968
g__GGB33516,0.12361963257255444,-0.12361963257255444,0.09365029322148506,negative,0.2791155661184968
g__GGB9297,0.12361963084195825,-0.12361963084195825,0.09365029785062526,negative,0.2791155661184968
g__GGB9543,0.1236196304620199,-0.1236196304620199,0.09365029886691523,negative,0.2791155661184968
g__GGB35597,0.12361962947918427,-0.12361962947918427,0.09365030149588452,negative,0.2791155661184968
g__GGB9263,0.12361962855107765,-0.12361962855107765,0.09365030397846057,negative,0.2791155661184968
g__GGB9696,0.12361962853490882,-0.12361962853490882,0.09365030402171015,negative,0.2791155661184968
g__GGB9606,0.12361962851284179,-0.12361962851284179,0.09365030408073713,negative,0.2791155661184968
g__GGB4713,0.12361962850792985,-0.12361962850792985,0.0936503040938762,negative,0.2791155661184968
g__GGB9172,0.12361962849638185,-0.12361962849638185,0.09365030412476492,negative,0.2791155661184968
g__GGB9673,0.12361962846679986,-0.12361962846679986,0.09365030420389296,negative,0.2791155661184968
g__GGB4715,0.12361962843089183,-0.12361962843089183,0.09365030429994346,negative,0.2791155661184968
g__GGB1672,0.1234741581746038,-0.1234741581746038,0.0940400636148231,negative,0.2791155661184968
g__Cetobacterium,0.12347415815263406,-0.12347415815263406,0.09404006367378452,negative,0.2791155661184968
g__GGB3818,0.12335952596480897,-0.12335952596480897,0.09434810623901484,negative,0.2791155661184968
g__Macrococcus,0.12313880837321668,-0.12313880837321668,0.09494348316925352,negative,0.2791155661184968
g__GGB6565,0.12313878588939536,-0.12313878588939536,0.09494354397017826,negative,0.2791155661184968
g__GGB3169,0.12313878587141724,-0.12313878587141724,0.09494354401879516,negative,0.2791155661184968
g__GGB33247,0.12313878586447448,-0.12313878586447448,0.09494354403756924,negative,0.2791155661184968
g__GGB4272,0.12313878584170909,-0.12313878584170909,0.09494354409913162,negative,0.2791155661184968
g__GGB1154,0.12305707022978842,-0.12305707022978842,0.09516472455685791,negative,0.2791155661184968
g__GGB3287,0.12300417594978529,-0.12300417594978529,0.09530811212726907,negative,0.2791155661184968
g__GGB3126,0.1230041754856979,-0.1230041754856979,0.0953081133860848,negative,0.2791155661184968
g__GGB9813,0.12281246253395012,0.12281246253395012,0.09582925388737405,positive,0.2791155661184968
g__Porphyromonas,0.12260016343290066,0.12260016343290066,0.09640899154420479,positive,0.2791155661184968
g__GGB13493,0.12254609148707733,0.12254609148707733,0.0965570927776538,positive,0.2791155661184968
g__Ellagibacter,0.12248345332690351,-0.12248345332690351,0.09672888218108516,negative,0.2791155661184968
g__Mediterranea,0.12247374157087797,-0.12247374157087797,0.09675553902691658,negative,0.2791155661184968
g__GGB9623,0.12247350491962918,-0.12247350491962918,0.0967561886604195,negative,0.2791155661184968
g__GGB9094,0.12241456648498902,-0.12241456648498902,0.09691808885924708,negative,0.2791155661184968
g__GGB13147,0.12241456591580537,-0.12241456591580537,0.09691809042379564,negative,0.2791155661184968
g__GGB1548,0.12241456585628094,-0.12241456585628094,0.09691809058741391,negative,0.2791155661184968
g__GGB13017,0.12241456584943937,-0.12241456584943937,0.09691809060622,negative,0.2791155661184968
g__GGB9289,0.12237090522138615,-0.12237090522138615,0.09703816210335761,negative,0.2791155661184968
g__Tsuneonella,0.12237090447676323,-0.12237090447676323,0.09703816415215782,negative,0.2791155661184968
g__GGB3475,0.12237090375438663,-0.12237090375438663,0.09703816613974832,negative,0.2791155661184968
g__Actinomyces,0.1223285566142094,-0.1223285566142094,0.097154738073825,negative,0.2791155661184968
g__GGB36331,0.12214695969919187,-0.12214695969919187,0.0976558921995909,negative,0.2791155661184968
g__GGB12985,0.1219348371686697,-0.1219348371686697,0.09824388010347239,negative,0.2791155661184968
g__GGB1246,0.12193483714149915,-0.12193483714149915,0.09824388017896622,negative,0.2791155661184968
g__GGB4266,0.12193483710688717,-0.12193483710688717,0.09824388027513667,negative,0.2791155661184968
g__GGB3176,0.12193483707864557,-0.12193483707864557,0.09824388035360726,negative,0.2791155661184968
g__Gallibacter,0.12193483707648535,-0.12193483707648535,0.09824388035960867,negative,0.2791155661184968
g__GGB3640,0.1219171820304382,-0.1219171820304382,0.09829294498404989,negative,0.2791155661184968
