feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__GGB9713_SGB15249,2,1.3927855711422845,0.0,0.8517034068136272,0.0,0.5410821643286573,0,1,0,1
s__Mediterraneibacter_butyricigenes,2,1.3900682721374953,0.0,0.8476953907815631,0.5423728813559322,0.0,0,1,1,0
s__Evtepia_gabavorous,2,1.3807615230460923,0.0,0.7414829659318638,0.0,0.6392785571142284,0,1,0,1
s__GGB9237_SGB14179,2,1.370741482965932,0.0,0.6513026052104208,0.0,0.719438877755511,0,1,0,1
s__Clostridiaceae_unclassified_SGB4771,2,1.3647294589178356,0.0,0.6012024048096192,0.0,0.7635270541082164,0,1,0,1
s__Agathobaculum_butyriciproducens,2,1.3607214428857715,0.0,0.4829659318637275,0.0,0.8777555110220441,0,1,0,1
s__Candidatus_Cibionibacter_quicibialis,2,1.3587174348697395,0.0,0.4709418837675351,0.0,0.8877755511022044,0,1,0,1
s__GGB9667_SGB15164,2,1.3507014028056112,0.0,0.8256513026052104,0.0,0.5250501002004009,0,1,0,1
s__Paraprevotella_clara,2,1.348697394789579,0.0,0.7474949899799599,0.0,0.6012024048096192,0,1,0,1
s__Clostridiales_Family_XIII_bacterium_BX16,2,1.344689378757515,0.0,0.3887775551102205,0.0,0.9559118236472945,0,1,0,1
s__GGB58158_SGB79798,2,1.340681362725451,0.0,0.5290581162324649,0.0,0.811623246492986,0,1,0,1
s__GGB3619_SGB4894,2,1.3306273564077307,0.0,0.9238476953907816,0.4067796610169492,0.0,0,1,1,0
s__Clostridium_sp_AF36_4,2,1.3246492985971945,0.0,0.36673346693386777,0.0,0.9579158316633266,0,1,0,1
s__GGB9522_SGB14921,2,1.3246492985971945,0.0,0.8056112224448898,0.0,0.5190380761523046,0,1,0,1
s__Collinsella_aerofaciens,2,1.3226452905811623,0.0,0.6292585170340681,0.0,0.6933867735470942,0,1,0,1
s__Alistipes_sp_AF17_16,2,1.314629258517034,0.0,0.7915831663326653,0.0,0.5230460921843687,0,1,0,1
s__Lachnospira_eligens,2,1.308617234468938,0.0,0.4929859719438878,0.0,0.8156312625250501,0,1,0,1
s__Bacteroides_stercoris,2,1.3066132264529058,0.0,0.5130260521042085,0.0,0.7935871743486974,0,1,0,1
s__Lachnospiraceae_bacterium_Marseille_Q4251,2,1.2985971943887775,0.0,0.5951903807615231,0.0,0.7034068136272544,0,1,0,1
s__Dysosmobacter_sp_BX15,2,1.2918039468768046,0.0,0.935871743486974,0.35593220338983056,0.0,0,1,1,0
s__Blautia_schinkii,2,1.2885771543086173,0.0,0.7054108216432866,0.0,0.5831663326653307,0,1,0,1
s__Coprococcus_SGB4669,2,1.2865731462925853,0.0,0.6673346693386774,0.0,0.6192384769539079,0,1,0,1
s__GGB3005_SGB3996,2,1.2845691382765532,0.0,0.3486973947895792,0.0,0.935871743486974,0,1,0,1
s__GGB9581_SGB14999,2,1.282565130260521,0.0,0.3166332665330661,0.0,0.9659318637274549,0,1,0,1
s__Clostridiales_bacterium_UBA1390,2,1.276553106212425,0.0,0.5851703406813626,0.0,0.6913827655310621,0,1,0,1
s__GGB35068_SGB47850,2,1.276553106212425,0.0,0.6653306613226453,0.0,0.6112224448897796,0,1,0,1
s__GGB3730_SGB5060,2,1.2685370741482966,0.0,0.5350701402805611,0.0,0.7334669338677355,0,1,0,1
s__Candidatus_Pseudobutyricicoccus_lothianensis,2,1.25250501002004,0.0,0.6733466933867736,0.0,0.5791583166332666,0,1,0,1
s__Blautia_massiliensis,2,1.248496993987976,0.0,0.2665330661322646,0.0,0.9819639278557114,0,1,0,1
s__Bifidobacterium_bifidum,2,1.2344689378757516,0.0,0.7494989979959921,0.0,0.48496993987975956,0,1,0,1
s__Clostridiales_bacterium_KLE1615,2,1.2244488977955912,0.0,0.4408817635270541,0.0,0.7835671342685371,0,1,0,1
s__GGB9619_SGB15066,2,1.220440881763527,0.0,0.591182364729459,0.0,0.6292585170340681,0,1,0,1
s__Mediterraneibacter_massiliensis,2,1.2184368737474949,0.0,0.4869739478957916,0.0,0.7314629258517034,0,1,0,1
s__GGB9186_SGB14125,2,1.214428857715431,0.0,0.4288577154308617,0.0,0.7855711422845691,0,1,0,1
s__Phocaeicola_massiliensis,2,1.2064128256513027,0.0,0.46292585170340683,0.0,0.7434869739478958,0,1,0,1
s__GGB9618_SGB15064,2,1.2024048096192386,0.0,0.7454909819639279,0.0,0.45691382765531063,0,1,0,1
s__Candidatus_Avimonas_narfia,2,1.2004008016032064,0.0,0.5871743486973948,0.0,0.6132264529058116,0,1,0,1
s__Coprococcus_eutactus,2,1.2004008016032064,0.0,0.5430861723446894,0.0,0.657314629258517,0,1,0,1
s__Bacteroides_fragilis,2,1.19438877755511,0.0,0.2945891783567134,0.0,0.8997995991983968,0,1,0,1
s__GGB3534_SGB4722,2,1.1903807615230462,0.0,0.7394789579158316,0.0,0.45090180360721444,0,1,0,1
s__Veillonella_parvula,2,1.188376753507014,0.0,0.8036072144288577,0.0,0.38476953907815636,0,1,0,1
s__Lacrimispora_celerecrescens,2,1.1843687374749499,0.0,0.8617234468937875,0.0,0.3226452905811623,0,1,0,1
s__Gemmiger_SGB15299,2,1.1803607214428857,0.0,0.87374749498998,0.0,0.3066132264529058,0,1,0,1
s__GGB9719_SGB15272,2,1.1763527054108218,0.0,0.687374749498998,0.0,0.4889779559118237,0,1,0,1
s__GGB33512_SGB15203,2,1.1723446893787575,0.0,0.7294589178356714,0.0,0.44288577154308617,0,1,0,1
s__Ruminococcus_gnavus,2,1.1703406813627253,0.0,0.4468937875751503,0.0,0.7234468937875751,0,1,0,1
s__GGB3570_SGB4777,2,1.1703406813627253,0.0,0.30861723446893785,0.0,0.8617234468937875,0,1,0,1
s__Dorea_longicatena,2,1.1623246492985972,0.0,0.56312625250501,0.0,0.5991983967935872,0,1,0,1
s__Lachnospiraceae_bacterium_NSJ_29,2,1.162324649298597,0.0,0.312625250501002,0.0,0.8496993987975952,0,1,0,1
s__GGB9347_SGB14313,2,1.1583166332665331,0.0,0.5410821643286573,0.0,0.6172344689378757,0,1,0,1
s__GGB9730_SGB15291,2,1.156312625250501,0.0,0.42084168336673344,0.0,0.7354709418837675,0,1,0,1
s__GGB9198_SGB14137,2,1.154308617234469,0.0,0.6713426853707415,0.0,0.4829659318637275,0,1,0,1
s__Eubacteriaceae_bacterium,2,1.1510138921911621,0.0,0.6933867735470942,0.4576271186440678,0.0,0,1,1,0
s__GGB9787_SGB15410,2,1.1482965931863727,0.0,0.5571142284569138,0.0,0.591182364729459,0,1,0,1
s__GGB9616_SGB15051,2,1.1462925851703407,0.0,0.5090180360721444,0.0,0.6372745490981964,0,1,0,1
s__Blautia_faecis,2,1.1422845691382766,0.0,0.4168336673346693,0.0,0.7254509018036073,0,1,0,1
s__GGB3321_SGB4395,2,1.1422845691382766,0.0,0.6212424849699398,0.0,0.5210420841683367,0,1,0,1
