feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K24528,3,2.1762715096048426,0.3844797178130511,0.954954954954955,0.0,0.8368368368368369,1,1,0,1
K00655,3,2.1754611754611757,0.783068783068783,0.6366366366366366,0.0,0.7557557557557557,1,1,0,1
K20707,3,2.1750798417465083,0.763668430335097,0.8688688688688688,0.0,0.5425425425425425,1,1,0,1
K16399,3,2.1705991705991705,0.6190476190476191,0.7137137137137137,0.0,0.8378378378378378,1,1,0,1
K03217,3,2.17017017017017,0.6296296296296297,0.8318318318318318,0.0,0.7087087087087087,1,1,0,1
K03614,3,2.1670718337385004,0.8007054673721341,0.8718718718718719,0.0,0.49449449449449445,1,1,0,1
K16407,3,2.161256494589828,0.199294532627866,0.983983983983984,0.0,0.977977977977978,1,1,0,1
K07496,3,2.145145145145145,0.6666666666666667,0.7977977977977978,0.0,0.6806806806806807,1,1,0,1
K02115,3,2.1443348110014777,0.9171075837742504,0.2392392392392393,0.0,0.987987987987988,1,1,0,1
K21352,3,2.1440011440011437,0.8306878306878307,0.9419419419419419,0.0,0.37137137137137133,1,1,0,1
K24555,3,2.1398064731398065,0.5061728395061729,0.8868868868868869,0.0,0.7467467467467468,1,1,0,1
K04085,3,2.137899804566471,0.6684303350970018,0.958958958958959,0.0,0.5105105105105106,1,1,0,1
K03465,3,2.137416568511975,0.0,0.8998998998998999,0.9151943462897526,0.3223223223223223,0,1,1,1
K19824,3,2.1324181324181324,0.9312169312169312,0.8228228228228228,0.0,0.3783783783783784,1,1,0,1
K03657,3,2.1319414652747986,0.6014109347442681,0.6096096096096096,0.0,0.9209209209209209,1,1,0,1
K16450,3,2.1276037942704606,0.36684303350970016,0.953953953953954,0.0,0.8068068068068068,1,1,0,1
K00616,3,2.108744787190017,0.0,0.6596596596596597,0.6042402826855124,0.8448448448448449,0,1,1,1
K21064,3,2.100719767386434,0.5731922398589065,0.8288288288288288,0.0,0.6986986986986987,1,1,0,1
K16402,3,2.0998617665284334,0.3721340388007055,0.8278278278278278,0.0,0.8998998998998999,1,1,0,1
K03536,3,2.0989084322417657,0.3791887125220459,0.8628628628628628,0.0,0.8568568568568569,1,1,0,1
K06173,3,2.0925687592354256,0.4409171075837742,0.7937937937937938,0.0,0.8578578578578578,1,1,0,1
K01808,3,2.0825110825110826,0.656084656084656,0.8398398398398399,0.0,0.5865865865865866,1,1,0,1
K00980,3,2.0806672396778403,0.0,0.5465465465465466,0.657243816254417,0.8768768768768769,0,1,1,1
K16787,3,2.0786500786500786,0.4920634920634921,0.8468468468468469,0.0,0.7397397397397397,1,1,0,1
K18918,3,2.0709295868306468,0.0,0.6766766766766767,0.8657243816254416,0.5285285285285286,0,1,1,1
K11072,3,2.067019400352734,0.17813051146384484,0.978978978978979,0.0,0.9099099099099099,1,1,0,1
K00661,3,2.0619667286333954,0.689594356261023,0.7127127127127126,0.0,0.6596596596596597,1,1,0,1
K23745,3,2.0582010582010586,0.28042328042328046,0.8558558558558559,0.0,0.9219219219219219,1,1,0,1
K11070,3,2.057295390628724,0.4426807760141094,0.8598598598598599,0.0,0.7547547547547547,1,1,0,1
K00548,3,2.0563420563420562,0.48677248677248675,0.7747747747747747,0.0,0.7947947947947948,1,1,0,1
K01740,3,2.055913055913056,0.8677248677248677,0.8338338338338338,0.0,0.35435435435435436,1,1,0,1
K19955,3,2.0558653891987224,0.3051146384479718,0.8378378378378378,0.0,0.9129129129129129,1,1,0,1
K01448,3,2.052052052052052,0.37037037037037035,0.948948948948949,0.0,0.7327327327327327,1,1,0,1
K01495,3,2.049382716049383,0.8641975308641976,0.9239239239239239,0.0,0.26126126126126126,1,1,0,1
K06221,3,2.049148088017346,0.0,0.7637637637637638,0.8939929328621908,0.39139139139139134,0,1,1,1
K09117,3,2.0462843796177133,0.7389770723104057,0.6666666666666667,0.0,0.6406406406406406,1,1,0,1
K01200,3,2.045726864336994,0.5890652557319225,0.0,0.4946996466431095,0.9619619619619619,1,0,1,1
K17836,3,2.0436150436150435,0.6772486772486772,0.8788788788788788,0.0,0.4874874874874875,1,1,0,1
K02897,3,2.035130368463702,0.7548500881834215,0.9469469469469469,0.0,0.33333333333333337,1,1,0,1
K09144,3,2.034730843918123,0.0,0.5155155155155156,0.6113074204946997,0.9079079079079079,0,1,1,1
K21175,3,2.0243576910243575,0.7901234567901234,0.9519519519519519,0.0,0.28228228228228225,1,1,0,1
K23367,3,2.020878020878021,0.6455026455026456,0.8898898898898899,0.0,0.48548548548548554,1,1,0,1
K01933,3,2.013346680013347,0.9753086419753086,0.07407407407407407,0.0,0.963963963963964,1,1,0,1
K23744,3,2.0046713380046715,0.09876543209876543,0.9129129129129129,0.0,0.992992992992993,1,1,0,1
K01051,3,2.004110117184322,0.0,0.5495495495495495,0.6007067137809188,0.8538538538538538,0,1,1,1
K02528,3,2.0040516707183373,0.08112874779541446,0.965965965965966,0.0,0.9569569569569569,1,1,0,1
K03575,3,2.0032890032890034,0.5238095238095238,0.933933933933934,0.0,0.5455455455455456,1,1,0,1
K20074,3,2.0026693360026693,0.8024691358024691,0.5215215215215215,0.0,0.6786786786786787,1,1,0,1
K01190,3,1.9953286619953285,0.6790123456790124,0.9409409409409409,0.0,0.37537537537537535,1,1,0,1
K16002,3,1.989608656275323,0.31393298059964725,0.7847847847847848,0.0,0.8908908908908909,1,1,0,1
K03671,3,1.9850803184136518,0.34744268077601415,0.9109109109109109,0.0,0.7267267267267268,1,1,0,1
K03499,3,1.9841269841269842,0.7248677248677249,0.5165165165165165,0.0,0.7427427427427428,1,1,0,1
K05989,3,1.9827283113502194,0.0,0.8158158158158157,0.558303886925795,0.6086086086086087,0,1,1,1
K16412,3,1.981981981981982,0.40740740740740744,0.6606606606606606,0.0,0.9139139139139139,1,1,0,1
K02948,3,1.9816483149816482,0.691358024691358,0.7577577577577578,0.0,0.5325325325325325,1,1,0,1
K00147,3,1.9648696315362981,0.6155202821869489,0.5955955955955956,0.0,0.7537537537537538,1,1,0,1
K01243,3,1.961103961103961,0.91005291005291,0.7027027027027026,0.0,0.3483483483483484,1,1,0,1
K00645,3,1.9599122932456265,0.6596119929453264,0.6476476476476476,0.0,0.6526526526526526,1,1,0,1
K04762,3,1.958100958100958,0.4656084656084656,0.7587587587587588,0.0,0.7337337337337337,1,1,0,1
K01515,3,1.9560989560989561,0.6507936507936508,0.7257257257257257,0.0,0.5795795795795795,1,1,0,1
K03100,3,1.9544306210972877,0.8112874779541446,0.16316316316316315,0.0,0.97997997997998,1,1,0,1
K03624,3,1.9501882835216169,0.7019400352733687,0.5875875875875876,0.0,0.6606606606606606,1,1,0,1
K16870,3,1.9481386148052815,0.06525573192239864,0.977977977977978,0.0,0.9049049049049049,1,1,0,1
K01835,3,1.9419896086562751,0.562610229276896,0.8778778778778779,0.0,0.5015015015015015,1,1,0,1
K18220,3,1.9293073992720635,0.0,0.6956956956956957,0.8091872791519434,0.4244244244244244,0,1,1,1
K01938,3,1.9254492587825922,0.2998236331569665,0.6546546546546547,0.0,0.970970970970971,1,1,0,1
K19724,3,1.924132107877691,0.9682539682539683,0.7297297297297297,0.22614840989399299,0.0,1,1,1,0
K15971,3,1.9144197200734303,0.0,0.8808808808808809,0.5300353356890459,0.5035035035035035,0,1,1,1
K09710,3,1.907764907764908,0.6084656084656085,0.4914914914914915,0.0,0.8078078078078078,1,1,0,1
K01533,3,1.9053815720482385,0.18165784832451504,0.9379379379379379,0.0,0.7857857857857857,1,1,0,1
K18218,3,1.9032365699032365,0.49382716049382713,0.7117117117117118,0.0,0.6976976976976976,1,1,0,1
