feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K00926,0.21579932283996206,1308.0,0.14917365792155296,0.14917365792155296,0.042141001544460543,4.942668830569069,4.900527829024608,up,0.31013782462792366
K00927,0.5359903157875145,1055.0,0.10638999165360513,-0.10638999165360513,-0.012035738933175999,5.820047911255716,5.832083650188892,down,0.6209931852516137
K00929,0.6799056906278642,1083.0,0.10542530337405265,-0.10542530337405265,-0.05490762134389371,4.153927493643429,4.208835114987322,down,0.7469306459278542
K00930,0.0011574609632606166,1581.0,0.705227473716321,0.705227473716321,0.16963612098660708,5.289846819790164,5.1202106988035565,up,0.0069184598485805045
K00931,0.0004658470178907673,1615.0,0.7026876858747907,0.7026876858747907,0.21085896788386638,5.095748062316103,4.8848890944322365,up,0.004344601620754319
K00937,0.0001767182536347103,1649.0,0.7280687313813847,0.7280687313813847,0.17135030924032524,5.6020015350747165,5.430651225834391,up,0.0028258087845800914
K00939,0.05927689100064914,1396.0,0.37725080848996473,0.37725080848996473,0.06806034423030649,5.502248961710289,5.4341886174799825,up,0.10963306844705151
K00941,0.017323413315052112,1463.0,0.481552633337398,0.481552633337398,0.18148457340727742,5.099237764089191,4.917753190681913,up,0.04290073165592002
K00942,0.00019867593544510684,1645.0,0.5364530784359617,0.5364530784359617,0.11362958240810794,5.237079130054265,5.123449547646157,up,0.0028258087845800914
K00945,0.04126514248701665,1417.0,0.4300034061742509,0.4300034061742509,0.05924754897362838,5.406144363489525,5.346896814515897,up,0.08246757199153024
K00948,0.013303077568993281,1476.0,0.48032076881435554,0.48032076881435554,0.05756716774346948,5.861735424597204,5.8041682568537345,up,0.03584743238366018
K00949,0.0014583252158154813,1572.0,0.7408845076521892,0.7408845076521892,0.15160243579438681,5.223105306109346,5.071502870314959,up,0.007957251696254598
K00950,0.0002045527639703117,1644.0,0.6924651933958966,0.6924651933958966,0.2251972834990008,4.906734330502907,4.681537047003906,up,0.0028258087845800914
K00954,0.07458856482836067,1382.0,0.20904447923974723,0.20904447923974723,0.02407759986583624,5.459048133110225,5.434970533244389,up,0.13254589560715443
K00957,0.0005493617336653793,1609.0,0.7302785722236322,0.7302785722236322,0.20521208493572107,4.773083830543244,4.567871745607523,up,0.00460134190936289
K00962,0.13863057157027708,1341.0,0.28154731017172524,0.28154731017172524,0.04196752877193255,5.582816042355666,5.540848513583733,up,0.2175408133829527
K00969,3.247344139304164e-05,1704.0,0.6931139244248764,0.6931139244248764,0.13922662523259355,5.273219052910464,5.13399242767787,up,0.0020334559729452265
K00971,0.5359903157875145,1224.0,0.12247517746879166,0.12247517746879166,0.05091976230389328,4.787888307988925,4.7369685456850315,up,0.6209931852516137
K00973,0.011500058415366747,1483.0,0.521463275491981,0.521463275491981,0.14691544681444046,5.357744779077998,5.2108293322635575,up,0.03203935766145608
K00974,0.000265302338753846,1635.0,0.622230803090177,0.622230803090177,0.21124579340134098,5.213521915066605,5.002276121665264,up,0.0031715688678300687
K00975,0.01199166479817229,1481.0,0.5576199176253815,0.5576199176253815,0.16091793534475318,6.157868186463917,5.996950251119164,up,0.033197977283361185
K00980,0.250406352731413,1296.0,0.15635000754450207,0.15635000754450207,0.06862759176836075,4.486647289542018,4.418019697773658,up,0.34661510930716644
K00981,0.03842174743411881,1421.0,0.31561923481893533,0.31561923481893533,0.04133305664772102,5.4599496615811285,5.4186166049334075,up,0.07784991968546415
K00986,0.08207349595185619,1376.0,0.3333693539302151,0.3333693539302151,0.0719301030939592,7.072351621033948,7.000421517939989,up,0.1437105821260864
K00995,0.04053808422794033,1418.0,0.39682458236451534,0.39682458236451534,0.10787976986455572,5.137911520580974,5.030031750716418,up,0.08126155603619137
K01000,0.05927689100064914,1396.0,0.28923069003612534,0.28923069003612534,0.07635568533986614,5.1623954490196,5.086039763679734,up,0.10963306844705151
K01005,0.3271327243786284,1273.0,0.15915671133941553,0.15915671133941553,0.03208279713304396,6.370478510098421,6.338395712965377,up,0.42922902197885504
K01006,0.6799056906278642,1083.0,0.04906258492190405,-0.04906258492190405,-0.006794310348110066,5.680490199884369,5.687284510232479,down,0.7469306459278542
K01012,0.00240139605001575,1552.0,0.5009249210068395,0.5009249210068395,0.17484576557532616,5.265820550387535,5.090974784812209,up,0.010889088985416245
K01051,0.09886783377544613,1364.0,0.2631436643277348,0.2631436643277348,0.1492753186640341,4.395893808424291,4.246618489760257,up,0.16625473326689472
K01056,0.07106071840061627,1385.0,0.40622408549041156,0.40622408549041156,0.044831401173770935,5.577694144814979,5.532862743641208,up,0.12748273492061446
