feature,coefficient,abs_coefficient
K02283,0.07805649633049142,0.07805649633049142
K01507,-0.07719255994875723,0.07719255994875723
K07481,-0.07602072727514024,0.07602072727514024
K01802,0.07303826946956363,0.07303826946956363
K15923,-0.07189683084958691,0.07189683084958691
K07321,-0.06756131214907445,0.06756131214907445
K01223,0.06647082807402185,0.06647082807402185
K02775,0.06636478377913614,0.06636478377913614
K07271,0.06564762958725456,0.06564762958725456
K07485,-0.06478013441579224,0.06478013441579224
K00249,0.06477394352284167,0.06477394352284167
K00682,0.06452439558695905,0.06452439558695905
K19651,-0.06377581280569301,0.06377581280569301
K03299,-0.06331784265897586,0.06331784265897586
K07079,-0.0630704749168806,0.0630704749168806
K00980,-0.06220075574112708,0.06220075574112708
K22522,0.06194828986493455,0.06194828986493455
K02406,-0.06108298082832899,0.06108298082832899
K01955,0.060240200952219644,0.060240200952219644
K10206,0.059590551411128706,0.059590551411128706
K25706,0.0591221400702555,0.0591221400702555
K19693,0.05822978506811289,0.05822978506811289
K00174,-0.05793489679469264,0.05793489679469264
K12340,-0.057315678077929685,0.057315678077929685
K01537,0.056843031876210516,0.056843031876210516
K21908,-0.055969858028763725,0.055969858028763725
K15390,-0.05592590070620618,0.05592590070620618
K03466,-0.055204230350432745,0.055204230350432745
K09144,-0.05496381514487565,0.05496381514487565
K03315,0.0544193810835926,0.0544193810835926
K00616,-0.05390515243483666,0.05390515243483666
K01051,0.05380139518991053,0.05380139518991053
K07221,0.053757808058985314,0.053757808058985314
K19420,-0.052653958427150024,0.052653958427150024
K07800,0.05233840527162859,0.05233840527162859
K07263,-0.051828952317505325,0.051828952317505325
K12373,-0.05140181692293409,0.05140181692293409
K10441,-0.05065419111570615,0.05065419111570615
K24560,0.04963017937284948,0.04963017937284948
K01520,-0.04950564741596924,0.04950564741596924
K06218,0.04944115441593514,0.04944115441593514
K19635,-0.04929056541257539,0.04929056541257539
K17828,0.04866512606128488,0.04866512606128488
K05989,-0.0484757415734083,0.0484757415734083
K03673,-0.047915355879154305,0.047915355879154305
K07075,-0.04708144754511425,0.04708144754511425
K03553,-0.04683792972542817,0.04683792972542817
K07172,0.04645936783425437,0.04645936783425437
K01711,-0.04604279543777076,0.04604279543777076
K07499,-0.04575832452637851,0.04575832452637851
K06183,0.04561407196349558,0.04561407196349558
K15971,0.04536773674850938,0.04536773674850938
K00609,0.04447865338826305,0.04447865338826305
K03975,-0.044377511765922265,0.044377511765922265
K03686,0.04422730513043255,0.04422730513043255
K06387,-0.04420088213517909,0.04420088213517909
K00799,0.043575281674185895,0.043575281674185895
K03790,-0.043477622300612924,0.043477622300612924
K24180,0.04333799785702794,0.04333799785702794
K12410,0.04264503075410645,0.04264503075410645
K00088,0.04199229116693118,0.04199229116693118
K01200,0.04120434147004878,0.04120434147004878
K07114,0.04098250174765504,0.04098250174765504
K06412,-0.039645278250875146,0.039645278250875146
K01937,-0.039029924387031886,0.039029924387031886
K23746,0.03770319148419503,0.03770319148419503
K02035,-0.03757496165579764,0.03757496165579764
K00868,0.03730745224049591,0.03730745224049591
K01658,0.03721246462327913,0.03721246462327913
K03073,-0.03673477509436833,0.03673477509436833
K07720,-0.03656150468848608,0.03656150468848608
K00096,0.035908109819995045,0.035908109819995045
K17319,-0.035394156310376595,0.035394156310376595
K04720,-0.035238717407391956,0.035238717407391956
