feature,mi_score
K24555,0.07676451972179721
K15583,0.07676224037668677
K00384,0.07669016257023409
K23990,0.0766186195299412
K03499,0.07661382811285278
K02887,0.07617587225814959
K19693,0.07611570808952961
K16787,0.07601937898899203
K15772,0.07577299524681669
K24562,0.07554619658251793
K00567,0.07548341214473342
K08681,0.07499914525421647
K16786,0.07462001645137506
K04762,0.07440621741034437
K01448,0.07433483560553222
K01881,0.07390611212993359
K07317,0.07378297138179302
K04567,0.07351217736099858
K23396,0.07350011919177168
K03701,0.07339880693512835
K03671,0.07293487668573961
K02122,0.0729124298862518
K16413,0.07259613738245885
K01868,0.07212301708421287
K00891,0.07198168681396422
K15519,0.07193638047270201
K23397,0.07188116947999101
K00826,0.07178450688332871
K15571,0.07147330188462342
K00852,0.07139916537835655
K01775,0.07128473772547106
K20534,0.07122256882139033
K00174,0.07117079767586909
K25153,0.07099808265940433
K03169,0.0706299322912538
K08079,0.0706214049389764
K06958,0.070388232440179
K06972,0.07035912781532838
K03217,0.0702646351428684
K03699,0.070214680215543
K01991,0.07018437090819263
K18189,0.06977153143285308
K02346,0.06960834806049787
K19108,0.06958523261313698
K04655,0.06953915385672516
K01989,0.06948992646374808
K02004,0.06931570832077982
K20419,0.06931567941450067
K21064,0.0692180875659898
K18218,0.06908114832059487
K04043,0.06903755765200414
K03973,0.06879828592835713
K04720,0.06848020123527254
K02010,0.06840117146874314
K03588,0.06821189315446463
K15967,0.06814075480207604
K03590,0.0680090867016585
K01735,0.06800162740506388
K00571,0.06773589345971476
K06215,0.06746720959728103
K07030,0.06736020982890367
K22423,0.06698421458303616
K07154,0.06675097196637636
K22452,0.06646676328433476
K02967,0.06633035455417624
K16899,0.06619633166594441
K07496,0.0661632099476932
K00764,0.06607913008420163
K20074,0.06595255163670588
K23981,0.0658563451417471
K12693,0.06576491883249025
K00059,0.06554427827951614
K02939,0.06532726926800225
K02961,0.0652110167160882
K01056,0.06513250726257858
K07451,0.06472325216582364
K04771,0.06468364631279888
K09955,0.06463531926539079
K00088,0.0639644972021054
K04069,0.06344393252712899
K02963,0.06333958895940506
K16692,0.06333436327693476
K07025,0.063240673776076
K01961,0.06314823574705697
K07029,0.06308569276171982
K07482,0.06288199446519083
K03624,0.06274351043424375
K00661,0.0626381802048328
K00768,0.06233406149538312
K18887,0.061937843130414505
K00549,0.06188647667279823
K03431,0.06186682040314184
K01626,0.061788397668469
K00648,0.06163234394478789
K00645,0.06160117169999313
K10709,0.06147713485720652
K01956,0.06123764633646789
K00763,0.061221718976790296
K00765,0.06099504311262138
K06381,0.06085073579330702
K22607,0.06077997322254469
K01620,0.06072168053412441
K03702,0.060642480506927
K22581,0.06050284872667033
K17194,0.06048657449164585
K05799,0.06034197083141746
K09117,0.06017892496524646
K03286,0.05981606444613585
K24180,0.05978754947591214
K10773,0.05955262389631755
K02520,0.05905069952031239
K14698,0.058745693844515445
K20339,0.05872765632647803
K07979,0.0584107567908283
K00175,0.05840650756782906
K07488,0.058368669248740845
K02110,0.058344610722844026
K10119,0.058278221502043204
K20678,0.058223993322814804
K04518,0.05802796221540585
K00821,0.05732214207629438
K01126,0.057251990788312224
K02119,0.05717984071616233
K00688,0.057050542930614734
K03497,0.05704253589135733
K06168,0.05702186790193964
K06147,0.0570096962554314
K02793,0.05697266941524104
K07040,0.05694460141842295
K00762,0.05655398662063904
K00215,0.05649288299795452
K00874,0.056353265670837205
K02030,0.05607929195936334
K00865,0.05603091412460803
K03628,0.05602547867025609
K09952,0.05595787113481765
K02120,0.05593484728366893
K20680,0.0557169876847623
K05989,0.05557109066991228
K06904,0.05537094359476513
K00760,0.055315327914149615
K06223,0.055136947267018455
K21225,0.054914744701066054
K11176,0.054778220345791606
K13038,0.054766920138574315
K21326,0.05447744626284878
K01271,0.05444705131057881
K13070,0.05419257488422735
K01224,0.05413262751269898
K02483,0.054038046168117804
K03111,0.05392010737315078
K07173,0.05387899546953223
K03790,0.053873912065564245
K16410,0.0538733020065052
K15580,0.05385887059831718
K00941,0.053856659267980556
K01077,0.05369518879401047
K03545,0.053303580980527565
K03469,0.053231098486170136
K02835,0.053230563720010116
K01808,0.053222157944141424
K07480,0.053092088190909825
K01424,0.05293413305157868
K03215,0.052925472399293794
K06942,0.052872516096337474
K01686,0.05272304172811326
K06131,0.052693759667581164
K01515,0.05268655990104487
K00611,0.052653782283853756
K03101,0.05265355103362235
K25307,0.05257061891944059
K20849,0.052554073296519066
K01258,0.05253676238871541
K26217,0.052348589791161526
K01273,0.05232121554503677
K02916,0.05226473267605436
K23365,0.052016943802346116
K06180,0.05173901632942046
K07082,0.05158630231012373
K03177,0.051575169141821586
K03797,0.0515335772573986
K00817,0.05129198575331406
K15342,0.05116129329136476
K10823,0.05113637607894739
K22092,0.05108914321921465
K12630,0.0510469358010881
K03517,0.05085841330098506
K07316,0.05050431138438283
K01153,0.05004860389742527
