feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K26364,8.882466487483296e-06,1743.0,0.7198896801064067,0.7198896801064067,0.1923736021813358,5.367385547172841,5.175011944991505,up,0.001460055428880067
K00145,0.0005493617336653793,1609.0,0.7184361699104523,0.7184361699104523,0.1328249806156645,5.4050511298081245,5.27222614919246,up,0.00460134190936289
K01591,0.0002364670819657711,1639.0,0.7179490452757655,0.7179490452757655,0.18167279555663907,5.295412091036782,5.113739295480143,up,0.0029614686931903715
K00919,0.0002364670819657711,1639.0,0.7175272375439655,0.7175272375439655,0.15605537979388107,5.408931120508249,5.252875740714368,up,0.0029614686931903715
K03615,0.001098914734839474,1583.0,0.7170337857111654,0.7170337857111654,0.12295564784775426,5.586747250276078,5.463791602428324,up,0.006784379701004265
K01662,0.0006125726266865374,1605.0,0.714999783707995,0.714999783707995,0.13545754619520167,5.6000782177732145,5.464620671578013,up,0.004941920270507955
K02111,0.0010162130226736051,1586.0,0.7086618957913806,0.7086618957913806,0.21367741044809296,5.696202161848222,5.482524751400129,up,0.006615446162454411
K10206,6.721583152165681e-05,1681.0,0.7077876566980741,0.7077876566980741,0.21717757533922644,5.058111325593906,4.840933750254679,up,0.002266379960281505
K00930,0.0011574609632606166,1581.0,0.705227473716321,0.705227473716321,0.16963612098660708,5.289846819790164,5.1202106988035565,up,0.0069184598485805045
K07452,0.0014958701709081766,1571.0,0.7039938740259256,0.7039938740259256,0.2549146700858307,4.722833464128108,4.467918794042277,up,0.008061759322722345
K01586,3.845640915624217e-06,1767.0,0.7029007776577384,0.7029007776577384,0.20699917923060696,5.12984112253567,4.922841943305063,up,0.0010857265442721998
K00931,0.0004658470178907673,1615.0,0.7026876858747907,0.7026876858747907,0.21085896788386638,5.095748062316103,4.8848890944322365,up,0.004344601620754319
K02346,0.00010970990410461091,1665.0,0.7001421769302699,0.7001421769302699,0.3524172702988553,4.94582792089995,4.593410650601094,up,0.0026085816800690124
K03154,0.0012507032391831788,1578.0,0.6998092201490901,0.6998092201490901,0.24022331435779964,5.219605650524481,4.979382336166681,up,0.00727732194480478
K03524,0.00022317809140424814,1641.0,0.6976515933359124,0.6976515933359124,0.21971606585356973,5.503103762570472,5.283387696716902,up,0.002934791901965863
K02113,0.00041692250137295006,1619.0,0.6962323875840369,0.6962323875840369,0.18363792190006034,5.6128610806755646,5.429223158775504,up,0.004185138086300988
K01929,0.0007201794419124876,1599.0,0.693340251551726,0.693340251551726,0.18805879162746297,5.310653465968766,5.122594674341303,up,0.005320426775926522
K01649,0.0001313880724692558,1659.0,0.6933347644233774,0.6933347644233774,0.2300999552934142,5.060942138660066,4.830842183366652,up,0.0026996143015167403
K00969,3.247344139304164e-05,1704.0,0.6931139244248764,0.6931139244248764,0.13922662523259355,5.273219052910464,5.13399242767787,up,0.0020334559729452265
K00950,0.0002045527639703117,1644.0,0.6924651933958966,0.6924651933958966,0.2251972834990008,4.906734330502907,4.681537047003906,up,0.0028258087845800914
K03327,7.844780696986501e-05,1676.0,0.6906440333988838,0.6906440333988838,0.2436838023990502,7.699058796290439,7.455374993891389,up,0.0023640057111695137
K00640,0.0013166667534653344,1576.0,0.6890271321879542,0.6890271321879542,0.10827529928268831,5.658290983040062,5.5500156837573735,up,0.007399217011995362
K05366,4.195387214423924e-05,1696.0,0.6883670175349386,0.6883670175349386,0.3742095707971851,4.908808963578148,4.534599392780963,up,0.002206773674786984
K01740,0.0007011037692427487,1600.0,0.6874865126183689,0.6874865126183689,0.20288415705412977,5.986490155004714,5.783605997950584,up,0.005238360548603492
K06131,0.000646657047293318,1603.0,0.6874030306446027,0.6874030306446027,0.2133321698266597,5.639294737289694,5.425962567463034,up,0.005153660710246748
K01495,0.0009899519958008497,1587.0,0.6867256719479976,0.6867256719479976,0.14271821302197552,4.993257034416238,4.850538821394262,up,0.006574681184232916
K01585,0.000520086504979793,1611.0,0.6859257482469797,0.6859257482469797,0.24029860647282586,5.383448919184208,5.1431503127113825,up,0.004559425026989519
K07139,0.0001767182536347103,1649.0,0.6843267046871844,0.6843267046871844,0.14390937628751832,5.141362305927108,4.997452929639589,up,0.0028258087845800914
K10240,0.005232469419121471,1519.0,0.6841302059668929,0.6841302059668929,0.5419724848440097,4.33517140845486,3.7931989236108503,up,0.01849649808103423
K02109,0.0023433765308763254,1553.0,0.6834147399603079,0.6834147399603079,0.14729666007648845,5.797234285139595,5.649937625063107,up,0.01066276864395283
K01696,0.00015705789190388777,1653.0,0.6809301348175834,0.6809301348175834,0.22078752766093146,4.883216462194741,4.66242893453381,up,0.0028258087845800914
K25026,0.002231170764192506,1555.0,0.6806899067368413,0.6806899067368413,0.26851381914536265,5.406319099532757,5.137805280387394,up,0.010294700192677702
K12410,6.721583152165681e-05,1681.0,0.6797322998358867,0.6797322998358867,0.16957126059406846,5.2654696314171545,5.095898370823086,up,0.002266379960281505
K03426,0.0009643205101045924,1588.0,0.6787133239307938,0.6787133239307938,0.1719838871061654,5.038808106813696,4.866824219707531,up,0.006469803422385404
K13038,0.0005645683156018696,1608.0,0.6771849304562052,0.6771849304562052,0.265104307358631,5.07905267097948,4.813948363620849,up,0.004640045843852866
K06217,0.003611444720982482,1535.0,0.6763482723133152,0.6763482723133152,0.0810503586086675,5.36109165652154,5.280041297912873,up,0.014050443219206994
K01915,0.0028457834832734865,1545.0,0.6759808060380958,0.6759808060380958,0.08082105950005225,6.297095845866729,6.216274786366677,up,0.0121895937475721
K15742,0.00021059259383182427,1643.0,0.6755183575038309,0.6755183575038309,0.12367575972947709,5.398922332531886,5.275246572802409,up,0.0028258087845800914
K00648,0.00028092629500860747,1633.0,0.6732202451548355,0.6732202451548355,0.24137352817053248,5.108582017618252,4.867208489447719,up,0.003212331112489729
K00700,0.002985882373054269,1543.0,0.6725671857858331,0.6725671857858331,0.13219863614207306,5.876651371180692,5.744452735038619,up,0.012625193956805027
K00850,0.0005060003917408402,1612.0,0.6721175645684829,0.6721175645684829,0.2182475291621282,5.038418901984572,4.820171372822444,up,0.004526466089382346
K07095,0.0005060003917408402,1612.0,0.6712789356703371,0.6712789356703371,0.20227237050386737,5.798065490420177,5.595793119916309,up,0.004526466089382346
K04751,0.002521398072103281,1550.0,0.6702159310872606,0.6702159310872606,0.15885276794292746,5.516723811324933,5.357871043382006,up,0.011239452423104456
K03498,0.0006824985211466705,1601.0,0.6685296886105028,0.6685296886105028,0.12266043784136027,6.259117572864099,6.136457135022739,up,0.005217939275045765
K21352,0.0005493617336653793,1609.0,0.6673867728696087,0.6673867728696087,0.26732969117241545,5.0379775851117925,4.770647893939377,up,0.00460134190936289
K08079,0.0019234369876702103,1561.0,0.6645986809347767,0.6645986809347767,0.14726643659471517,6.260384992310196,6.113118555715481,up,0.009367850514023432
K03437,0.0003426649098625465,1626.0,0.662932232883809,0.662932232883809,0.20590121446302145,5.231576498156585,5.025675283693563,up,0.0036634500525955173
K02823,0.00021059259383182427,1643.0,0.6620032060422256,0.6620032060422256,0.23964421222661958,5.10000519889558,4.860360986668961,up,0.0028258087845800914
K01265,0.0011278366902231435,1582.0,0.6617174611135225,0.6617174611135225,0.08569216873702867,5.95231863862512,5.866626469888091,up,0.00686622799834923
K00759,0.0011574609632606166,1581.0,0.6567954406505102,0.6567954406505102,0.1426802415155226,4.848940524627582,4.7062602831120595,up,0.0069184598485805045
K00765,0.0001617702777121964,1652.0,0.6557710769069659,0.6557710769069659,0.17298029004569226,5.538865754098413,5.365885464052721,up,0.0028258087845800914
K02470,8.60155333925689e-05,1673.0,0.6516862881335312,0.6516862881335312,0.23186711321168563,5.382262330892018,5.150395217680332,up,0.002406604817260173
K02112,0.0009393048319008929,1589.0,0.6516002989385232,0.6516002989385232,0.21486348478689443,5.579692388720027,5.364828903933133,up,0.006366937391493166
K01091,0.00036250978042975647,1624.0,0.6507111729735412,0.6507111729735412,0.16686359810645257,6.133588371084171,5.966724772977718,up,0.0038443577521381435
K24569,7.844780696986501e-05,1676.0,0.6500355110407283,0.6500355110407283,0.19625527904900597,5.9032367577366545,5.7069814786876485,up,0.0023640057111695137
K03100,0.0011878029613755533,1580.0,0.6479645661437958,0.6479645661437958,0.14693599601557406,6.0457496030223155,5.898813607006741,up,0.007004308942640595
K11175,0.0008014063630398325,1595.0,0.6473402681084752,0.6473402681084752,0.1625342224976487,5.19877944332982,5.036245220832171,up,0.005790381139546043
K02037,0.0006643530815126237,1602.0,0.6471000767938149,0.6471000767938149,0.20223903754343464,5.197322982743049,4.995083945199615,up,0.005200144655887501
K02027,0.0021769339394543345,1556.0,0.6463704428254814,0.6463704428254814,0.40322885340317427,5.242340348728512,4.839111495325338,up,0.010115435089690636
